product_names,price_info
Armaggeddon Atom 7 Stereo Gaming Headphones,SGD25.00
Armaggeddon Mechanic M1 Articulating Gas Spring Monitor Arm,SGD39.90
Armaggeddon Mechanic M2 Articulating Gas Spring Monitor Arm,SGD189.00
ARMAGGEDDON MOUSEMAT (A.BADGE),SGD9.90
ARMAGGEDDON MOUSEMAT (A.GRAVASTAR),SGD9.90
ARMAGGEDDON MOUSEMAT (A.TOURNEY),SGD9.90
ARMAGGEDDON MOUSEMAT (A.UGG),SGD9.90
Armaggeddon Pixxel+ Xtreme XF27HD SS,Out Of Stock
Armaggeddon Pixxel+ Xtreme XF27HD Super,Out Of Stock
Armaggeddon Puma III Bluetooth Portable Speaker Powerful Bass [Free Cross Fit Bag],SGD79.90
Armaggeddon Sonic Pulse 2.0 Gaming Speaker,SGD99.90
ARMAGGEDDON X-BAR 2,SGD29.90
ARMAGGEDDON X-FIT BAG,SGD12.90
ARTIC BRIZ I,SGD12.90
ARTIC BRIZ II,SGD14.90
ARTIC STORM 2 RGB R4,SGD49.90
ARTIC STORM 3 RGB R4,SGD69.90
ARTIC WIND,SGD29.00
ASIC 9 RGB FX,SGD6.90
ASIC PRO 6 black,SGD8.00
ASIC PRO 8 Black,SGD8.00
ASIC PRO 8 Blue,SGD8.00
ASIC PRO 8 Red,SGD8.00
Atom 9 RGB,SGD30.00
AUDIOBAR U250,SGD9.90
AudioX Pro 500 HD,SGD39.90
AudioX Pro 800 HD,SGD199.00
BASE-47 BADGE Black,SGD129.90
BASE-47 TUGG Yellow,SGD99.00
BASE-47 WINGS Yellow,SGD99.90
BBX 300,Missing Data
BBX 500 TWS,Out Of Stock
BBX 800 TWS,Out Of Stock
BBX D3000 TWS,SGD29.90
BBX LP6000 Black,SGD19.90
BBX LP6000 Camo,SGD19.90
BBX T1000,SGD19.90
BBX-7 BTMI,SGD39.90
BLUECUBE,SGD14.90
BT300 PRO Black,SGD29.90
Comet Pro AMD | 5500 - 3050,"SGD1,07"
Comet Pro Intel | 12400F - 3050,"SGD1,21"
CYBORG C2,SGD9.90
EARPUMP SPORT 100,SGD29.90
EARPUMP SPORT 200,SGD32.90
EARPUMP TWS 1,SGD49.90
EARPUMP TWS 2,SGD47.90
EARPUMP TWS 2 Black,SGD47.90
EARPUMP TWS 3+,SGD29.90
EARPUMP TWS PRO 1 White,SGD20.90
EARPUMP TWS PRO 1 Black,SGD39.90
Earpump TWS1 2021,SGD44.90
Elysium DOT,SGD79.90
ELYSIUM EVA HEADPHONE CASE,SGD9.90
Elysium IRON Mini,Out Of Stock
Elysium Signature HyperBass,SGD69.90
Elysium Signature Hyperbass 2,SGD79.90
Elysium TOT,SGD39.90
EVO 11,SGD109.00
EVO 5 PRO BTMI,SGD69.90
EVO 7 PRO BTMI,Out Of Stock
Express Delivery +$25,SGD25.00
Forehead Infrared Thermometer,SGD9.90
FOXBAT-III,SGD29.90
FUTURA BLACK MICRO M300,SGD35.00
FUTURA BLACK N1000 Black,SGD35.00
FUTURA BLACK N1000 Blue,SGD35.00
FUTURA BLACK N1000 Red,SGD35.00
FUTURA BLACK N2000 Black,SGD35.00
FUTURA BLACK N2000 Blue,SGD35.00
FUTURA BLACK N2000 Red,SGD35.00
FUTURA BLACK N3000 Black,SGD35.00
FUTURA BLACK N3000 Blue,SGD35.00
FUTURA BLACK N3000 Red,SGD35.00
FUTURA BLACK N5000 PRO Black,SGD55.00
FUTURA BLACK N5000 PRO Blue,SGD55.00
FUTURA BLACK N5000 PRO Red,SGD55.00
Gravastar,SGD249.00
GRUMMAN RAVEN III STEALTH,SGD24.90
HAGANE H-3 Red LED Fan,SGD99.90
Hagane H-7,Out Of Stock
HOLSTER 1,SGD39.90
HYPERBASS BUDS 1 Black,SGD9.90
HYPERBASS BUDS 1 Gun Metal,SGD9.90
i7 12700KF - 3080 APEX 8,"SGD3,77"
IINVICTOR Soturi,SGD149.00
IINVICTOR Soturi+,SGD219.00
INNO3D GEFORCE GTX 1650 TWIN X2 OC,SGD289.00
Inno3d Geforce RTX 3060 Ichill Red X 3,Out Of Stock
INNO3D GEFORCE RTX 3060 TWIN X2 OC,SGD599.00
INNO3D GEFORCE RTX 3070 TI ICHILL X4,"SGD1,05"
Inno3d Geforce RTX 3070 Twin X 2 OC LHR,Out Of Stock
INNO3D GEFORCE RTX 3080 TI ICHILL X4,"SGD1,70"
Inno3d Geforce RTX 3080Ti Ichill X 3 OC,"SGD1,68"
INNO3D GEFORCE RTX 3090 GAMING X3,Out Of Stock
INNO3D GEFORCE RTX 3090 X3,"SGD2,15"
iOX Bar III BT,SGD49.90
Jellybean A200,SGD22.90
Jellybean A2000,SGD25.00
Jellybean U200,SGD9.90
Jellybean U2000,SGD14.90
KAGAMI K-1 Black,SGD39.90
KAGAMI K-1 White,SGD39.90
KAGAMI K-2 Black,SGD49.90
KAGAMI K-2 White,SGD49.90
KAGAMI K-3 Black,SGD70.00
KAGAMI K-5,SGD49.90
Kalashnikov AK-6880,SGD29.90
KINDER 1,SGD24.90
Kinder 2,SGD15.00
KN95 Face Mask 5/box,SGD9.90
LIGHT BOX Black,SGD39.90
M100,SGD8.90
M2 MIC,SGD9.90
M3 Wired Microphone,SGD9.90
M5 Wired Microphone,Missing Data
MAGNUM PRO 375X,SGD49.90
MAGNUM PRO 475X,SGD55.00
MBA-61R Bluetooth Wireless Mechanical Keyboard | RGB | N-Key Rollover | Hot Swappable,SGD69.90
MIKOYAN FOXBAT Ironsight-7,SGD29.90
MIKOYAN FOXBAT Kevlar-13,SGD29.90
MK3 MIC,SGD12.90
MKA 2C,Out Of Stock
MKA 3C PSYCHFALCON,SGD49.90
MKA-11R,SGD59.90
MKA-17 Avenger,Out Of Stock
MKA-1C NEO Black,SGD49.90
MKA-1C NEO White,SGD49.90
MKA-2C NEO Black,SGD49.90
MKA-2C NEO White,SGD49.90
MKA-61C,SGD39.90
MKA-7C Psycheagle,SGD39.90
MKA-9C PRO PSYCHEAGLE,SGD39.90
MKO-13R ENTERPRISE,SGD69.90
MORRO 2200,SGD9.90
MORRO X5,SGD19.90
MORRO X7,SGD79.90
MORRO X9,SGD89.90
Nebuka III,SGD339.00
NEOPLUG NOZZ,Out Of Stock
NEOPLUG TREON,Out Of Stock
NEOX 250BT,SGD39.90
NEOX 7,SGD39.90
NEOX HP500 RGB,SGD29.90
NEURON Chroma Core Ring II,SGD8.90
NEURON GALAXY SFX,SGD16.00
NEURON-R B.Yellow,SGD9.90
NEURON-S B.Yellow,SGD9.90
Nimbus Pro AMD | 5500 - 3060,"SGD1,16"
Nimbus Pro Intel | 12400F - 3060,"SGD1,37"
Nimbus | 4650G,SGD679.00
NIMITZ AURORA RING I RGB,SGD16.00
NIMITZ LOOP II RGB KIT 3,SGD39.90
NIMITZ LOOP RGB KIT 3,SGD29.00
NIMITZ N3 Black,SGD59.90
Nimitz N5,SGD49.90
Nimitz N7,SGD59.90
NIMITZ N9 Black,SGD69.90
NIMITZ TR 5000 Black,SGD69.90
NIMITZ TR 7000 Black,SGD149.90
NIMITZ TR1100 Black,SGD59.90
Nimitz TR8000,SGD149.90
NIMITZ ULTRON,SGD799.90
NUKE 11,SGD79.90
NUKE 13R,SGD45.00
Nuke 5,SGD40.00
NUKE 9,SGD40.00
P5000 MOBY,SGD14.90
P8000 Super,SGD39.90
PANDORA NEO CLASSIC 1000,Out Of Stock
PEBBLE AIR DUO,SGD29.90
Pixxel+ Pro PF22HD Super 2022 Gaming Monitor,SGD139.00
Pixxel+ Pro PF24HD Super IPS Gaming Monitor,SGD279.00
Pixxel+ Pro PSC24HD Super Curve Gaming Monitor,SGD269.00
Pixxel+ Pro PSC27HD Curve Gaming Monitor,SGD219.00
Pixxel+ Xtreme XSC24HD Super Gaming Curve Monitor,SGD339.00
Pixxel+ Xtreme XSC27HD Super Gaming Curve Monitor,SGD299.00
PIXXEL+ XTREME XSC32HD SuperCurve 165Hz Black,SGD369.00
PULSE 7 (MOBILE) Alliance,SGD20.00
PULSE 7 (MOBILE) Armaggeddon,SGD20.00
PULSE 7 (MOBILE) Soviets,SGD20.00
QUATRO 2,SGD14.90
QUATRO V,SGD23.90
RAVEN V,SGD59.90
RECCE 13,SGD19.90
RECCE 15,SGD22.90
REVOLVER T1,SGD199.00
RUBY B-V,SGD59.90
SEMI-AUTOMATIC T1,Out Of Stock
SG EVA EARPHONE POUCH,SGD9.90
SG EVA HEADPHONE POUCH,SGD14.90
SHIELD-3,SGD19.90
SHIELD-5,SGD24.90
SHIELD-7,SGD24.90
Shuttle II,SGD259.00
SHUTTLE RGB Black,SGD199.00
SHUTTLE RGB Yellow,SGD199.00
SILENT-12 Black,SGD5.90
SILENT-14 Black,SGD6.90
SMK-12R,SGD59.90
SMK-2C,SGD49.90
SMK-6C,SGD39.90
SMK-9R,SGD49.90
Sonicbar 3000 BTMI,SGD49.90
SONICBAR BT 2100,SGD89.00
SONICBAR BT 300 PRO,SGD49.90
SONICBAR BT-6500 Sound Bar,SGD129.00
SONICBAR BT150,SGD39.90
SONICBAR BT5500 AIRBASS Sound Bar,SGD129.00
SONICBAR BT5500 AIRBASS Subwoofer,SGD129.00
SONICBAR BT6500 Sound Bar,SGD129.00
SONICBAR BT6500 Subwoofer,SGD129.00
SONICBAR U150,SGD15.00
SONICBAR U300,SGD19.90
SonicGear BT5500 SonicBar Airbass Digital Optical Audio with Wireless Subwoofer [Bluetooth/USBPlayback/FM/Line in/HDMI],SGD129.00
SONICGEAR IOX 2,SGD24.90
"SonicGear Neox-7 6.5"" Portable TWS Bluetooth Loudspeaker",SGD24.90
SonicGear Pandora Classic 1100 Wireless Charging Portable Bluetooth Speakers,SGD39.90
SonicGear SonicBar BT3500 Soundbar and Subwoofer | Optical Line-In | Coaxial Line-In | Bluetooth 5.0 | FM Radio,SGD79.90
SonicGear SonicGo! 1 | Portable Wireless Speaker | Bluetooth V5.3,Out Of Stock
SonicGear SonicGo! 3 RGB | Portable Wireless Speaker | Bluetooth V5.3,SGD29.90
SonicGear SonicGo! 6 RGB | Portable Wireless Speaker | Bluetooth V5.3,SGD28.90
SONICGEAR X-FIT BAG,SGD12.90
SonicPod,SGD79.90
SonicShuttle,SGD79.90
SONICUBE,SGD9.90
SPACE 3 (2019),SGD39.90
SPACE 5 (2019),SGD29.90
SPACE 7 (2019),SGD79.90
SPARKPLUG TURBINE,Out Of Stock
SPORT 300,SGD34.90
Starship VI,SGD369.00
STEALTH 3 D.Gray,SGD9.90
STEALTH 3 M.Red,SGD9.90
STEALTH 3 M.Blue,SGD9.90
STEALTH 5 D.Gray,SGD9.90
STEALTH 5 M.Blue,SGD9.90
STEALTH 5 M.Red,SGD9.90
STEALTH AIR 3,SGD18.90
STUDIO POD,SGD299.00
STUDIOBOX-2HD,SGD279.00
T5X PRO II Black,SGD59.90
TESSARAXX Apex 7 Black,SGD59.90
TESSARAXX Apex 8 Black,SGD69.90
Tessaraxx Command - 8.2R ARGB controller- R1,Out Of Stock
TESSARAXX CORE 1 AIR Black,SGD59.90
TESSARAXX CORE 1 Black,SGD59.90
TESSARAXX CORE 11 Black,SGD89.90
TESSARAXX CORE V Black,SGD59.90
TESSARAXX CORE V White,SGD59.90
TESSARAXX TX-20 CORE,SGD29.90
TESSERACT Core 2,Out Of Stock
The Comet | 3200G,Out Of Stock
The Nebula | i5 11400F - 3050,"SGD1,09"
Thunderbolt Extreme AMD | 5600X - 3070,"SGD1,76"
Thunderbolt Extreme Intel | 12400F - 3070,"SGD1,71"
Thunderbolt Pro AMD | 5500 - 3060 Ti,"SGD1,32"
Thunderbolt Pro Intel | 12400F - 3060 Ti,"SGD1,57"
TITAN 11 pro btmi,Out Of Stock
TITAN 2,SGD14.90
TITAN 3 BTMI,SGD24.90
TITAN 5 BTMI,Out Of Stock
TITAN 7 PRO BTMI,SGD49.90
TITAN 9 BTMI,Out Of Stock
TRILIUM BTR 1,SGD49.90
TRON 1x Black,Out Of Stock
TRON 1x White,Out Of Stock
TRON HOLO-3 MATX Black,SGD49.90
TRON HOLO-3 MATX White,SGD49.90
TRON HOLO-5 ATX Black,Out Of Stock
TRON III,SGD49.90
TRON VII Black,SGD59.90
TRON VII White,SGD59.90
TWS Hornet-1,SGD39.90
TWS Hornet-3,SGD59.90
TX DUAL LOOP-12 ARGB,SGD18.00
TX DUAL LOOP-14 ARGB,SGD19.00
TX iCORE DL-14 ARGB,SGD19.90
TX iCORE-12 ARGB,SGD18.00
TX iCORE-14 ARGB,SGD19.90
TX QUAD RING-12 ARGB,SGD18.00
TX SPY-12 ARGB,SGD19.90
TX SPY-14 ARGB,SGD34.90
TZLA SLIM C10000,SGD29.90
U-BLAST,SGD15.00
U-HUB R100 Black,SGD9.90
U-HUB R100 Blue,SGD9.90
U-HUB R100 Red,SGD9.90
U200,SGD9.90
ULTIMAX U3 B.Blue,SGD49.90
ULTIMAX U3 B.G.Metal,SGD49.90
ULTIMAX U3 B.Red,SGD49.90
ULTIMAX U5 PRO B.Blue,SGD59.90
ULTIMAX U5 PRO B.Red,SGD59.90
ULTIMAX U5 PRO W.L.Grey,SGD59.90
ULTIMAX U9 PRO B.Blue,SGD69.90
ULTIMAX U9 PRO B.Red,SGD69.90
ULTIMAX U9 PRO W.L.Grey,SGD69.90
ULTRO 2 Spyder,"SGD2,99"
ULTRO 3 Spyder,SGD229.00
VESTA V2FX Black,SGD39.90
VOLTRON BRONZE 235 FX,SGD29.90
VOLTRON BRONZE 300 FX,SGD39.90
VOLTRON BRONZE 350 FX,SGD49.90
VOLTRON GOLD 475RGB,SGD59.90
VOLTRON GOLD 600 RGB,SGD69.90
VOLTRON PLATINUM 1200 Modular,SGD139.90
VOLTRON PLATINUM 700,SGD79.90
VOLTRON PLATINUM 850 Modular,SGD99.90
VULCAN V1X White,SGD29.90
WASP-5,SGD19.90
WASP-7 PRO 3D Black,SGD29.90
WM 8000 UL,SGD89.90
WM 8800 UL DUAL,SGD169.90
WMC 2000RR,SGD29.90
WMC 2200RR DUAL,SGD59.90
WMC 6000RR,SGD69.90
WMC 6600RR DUAL,SGD129.90
WMH 100 UL,SGD59.90
X-Beats 500,SGD18.90
X-CRAFT AIR TREK 1000,SGD19.90
X-CRAFT AIR TREK 1000 SILENT,SGD24.90
X-Craft Air Tron 5000,SGD19.90
X-CRAFT AIR TRON 5000 SILENT,SGD24.90
X-Craft Air Twilight 2000,Out Of Stock
X-CRAFT AIR TWILIGHT 2000 SILENT,SGD28.90
X-CRAFT CLASSIC,SGD9.90
X-CRAFT ELECTRO,SGD9.90
X-CRAFT GALAXY,SGD9.90
X-CRAFT HP 1000X,Out Of Stock
X-CRAFT HP 3 PRO,SGD29.90
X-CRAFT HP 5 PRO,Out Of Stock
X-Craft HP Gold 1000,SGD59.90
X-Craft HP Gold 2000,SGD59.90
X-Craft HP Gold 5000,SGD59.90
X-Craft HP Gold 7000,SGD59.90
X-Craft HP Gold 8000,SGD59.90
X-Craft HP- 2000X,Out Of Stock
X-Craft HP- 5000X,Out Of Stock
X-Craft HP- 7000X,Out Of Stock
X-Craft HP- 8000X,Out Of Stock
X-CRAFT Pro  NOIZ Z8000 SILENT,SGD23.90
X-Craft Pro NOIZ Z8000,SGD22.90
X-Craft Pro Quantum 7000,SGD22.00
X-CRAFT Pro QUANTUM Z7000 SILENT,SGD23.90
X-CRAFT PRO TREK 1000,SGD22.90
X-CRAFT PRO TREK 1000 SILENT,SGD23.90
X-Craft Pro Tron 5000,SGD22.90
X-Craft Pro Tron 5000 SILENT,SGD23.90
X-CRAFT Pro Twilight 2000,SGD22.90
X-CRAFT Pro Twilight 2000 SILENT,SGD23.90
X-CRAFT XC 1000,SGD19.90
X-CRAFT XC 3000,SGD29.90
X-CRAFT XKB 100,SGD10.90
X-CRAFT XKB 300,SGD17.90
XENON 1 Black,SGD14.90
XENON 1 Grey,SGD14.90
XENON 1 Mint,SGD14.90
XENON 1 White,SGD14.90
XENON 1U Black,SGD14.90
XENON 1U Grey,SGD14.90
XENON 1U Mint,SGD14.90
XENON 1U White,SGD14.90
XENON 3 Black,SGD9.90
XENON 3 Grey,SGD9.90
XENON 3 Mint,SGD9.90
XENON 3 White,SGD9.90
Xenon 3U,SGD24.90
XP 1 Black,SGD14.90
XP 1 Mint,SGD14.90
XP 1 Pink,SGD14.90
XP 1 White,SGD14.90
XP 1U Black,SGD19.90
XP 1U Mint,SGD19.90
XP 1U Pink,SGD19.90
XP 1U White,SGD19.90
XP 3 Black,SGD14.90
XP 3 Mint,SGD14.90
XP 3 Pink,SGD14.90
XP 3 White,SGD14.90
XP 3U Pink,SGD24.90
Xplorer 2000SL,Out Of Stock
XPLORER AIR 6600 Black,SGD19.90
XPLORER AIR 6600 White,SGD19.90
XPLORER C3300 Silent,SGD9.90
XPLORER DOCK 1BT,SGD44.90
Xplorer Dock 2BT,SGD59.90
XPLORER GO! 100BT,SGD19.90
XPLORER GO! 300BT,SGD29.90
XPLORER K330 Silent,SGD5.90
Xplorer M550,SGD9.90
YK001 Infrared Thermometer,Out Of Stock
ATOM 5,SGD20.00
FALCON III,SGD39.90
Automatic T1,SGD399.00
MKA-5R RGB FALCON,SGD49.90
NUKE 7,SGD35.00
EARPUMP TWS 5 PRO,SGD34.90
EARPUMP TWS 7 HYPERBASS,SGD47.90
Inno3D GTX 1660 Super Twin X2 OC RGB,Out Of Stock
NZXT H1 i5 12400F - 3060,"SGD1,59"
EARPUMP TWS 12 ANC,SGD89.90
SCORPION 3 RGB Gaming Mouse,SGD14.90
Nimitz LOOP RGB Control Board,SGD15.00
SCORPION 5 RGB Gaming Mouse,SGD19.90
SCORPION 7 RGB Gaming Mouse,SGD19.90
STARSHIP III S.Soviets,SGD39.90
Nimitz RING III RGB,SGD16.00
Nimitz RING III RGB KIT,SGD49.90
CHROMA BLADE,SGD9.90
CHROMA DUAL SABER,SGD13.90
CHROMA SABER 120MM LED FAN,SGD11.90
Asic 7 RGB FX,SGD6.90
AZURE BLADE,Out Of Stock
AZURE DUAL SABER,SGD13.90
AZURE SABER 120MM LED FAN,Out Of Stock
JADE BLADE,Out Of Stock
JADE DUAL SABER,SGD13.90
JADE SABER 120MM LED FAN,Out Of Stock
SCARLET BLADE,SGD9.90
SCARLET DUAL SABER,SGD13.90
SCARLET SABER 120MM LED FAN,Out Of Stock
